beer_name,beer_rating,brewery_location,brewery_name,review_content,reviewer_name
Moonlight Dim Lights,3.7,"Santa Rosa, California",Moonlight Brewing Company (Heineken),"Poured from a 16 oz can dated March 23, 2020. 
Aroma is malt forward with medium light grain and biscuit notes. Light smoke and hints of floral, woody hops. 
Pours a very clear, somewhat pale gold with a large, thick, pillowy white head that recedes steadily to a small film that lingers in clumps on the edges. Moderate lacing and no legs. 
Flavor is somewhat sweet with medium light grain notes and a bit of biscuit and cracker. Light, sweet, smokey notes with a hint of fruitiness. Light herbal, floral hop notes and a hint of alcohol. 
Mouthfeel is light bodied and crisp with medium carbonation. Low astringency and low alcohol warmth. 
Overall, a tasty lager. The smokiness adds a nice complexity and is well balanced with the sweet malt notes and woody, floral hop notes.",ineedbeer
Old Bust Head Caramel Macchiato Stout,4.1,"Warrenton, Virginia",Old Bust Head Brewing Company,"Nice, creamy, milk stout.  Really taste the caramel and a hint of vanilla.  A really awesome beer to go with desert...I wish I had a bread pudding right now.",bigben873
Stoneface Berliner Weisse - Peach,3.5,"Newington, New Hampshire",Stoneface Brewing Company,"Pours hazy white golden with a three finger, white head.  Aroma is peach, lacto and light caramel.  Taste is peach and light caramel, moving to tart wheat.  Finish is strong, tart peach and caramel.",GregMooreNH
Decadent Mocha Latte ,3.6,"Mamaroneck, New York",Decadent Ales,"Golden orange appearance with a white head. Aroma and taste of chocolate and coffee with minimal hop presence. Medium body. Enjoyable, but there's nothing IPA about this really.",ajnepple
Half Acre Vanilla Big Hugs,3.9,"Chicago, Illinois",Half Acre Beer Company,"Black appearance with a light brown head. Dark malty aroma with big coffee, mild vanilla and light chocolaty notes. Similar flavor, rich and roasty with pleasant coffee/vanilla layers. Medium to full body with a smooth finish. Nice.",ajnepple
Perennial Coffee Stout - 2020,4.1,"St. Louis, Missouri",Perennial Artisan Ales,"Canned. Deep dark pour with tannish head. Dark chocolate, roasted coffee beans. Really nice.",Maverick34
Brewing Projekt Midnight Cow Cow,3.6,"Eau Claire, Wisconsin",The Brewing Projekt,Can. Pours black with a thin deep brown head that dissipates to the edges. Aroma has a good amount of coffee with a bit of roasts and a sweet dark grain backbone. Flavor starts strong with coffee but has growing creamy sweet dark grains and a hint of roast.,deyholla
Nightmare Gunga Rao,3.5,"Farmingdale, New York",Nightmare Brewing Company,Canned. Cloudy bright yellow pour. Sweet and sour with some tropicalish notes. Ridiculous can.,Maverick34
Le Castor Cassis Bleuet,3.9,"Rigaud, Quebec",Microbrasserie Le Castor Brewing Co.,"Pours dark with a purple tinge.  Aroma is blueberry and cassis, very dark fruit.  Taste is slightly tart but it is evened out with the sweetness from the fruit.  Light carbonation but great finish.",cfrancis
Knee Deep Simtra Triple IPA,3.8,"Auburn, California",Knee Deep Brewing Company,"Bottle picked up from Beer Republic, webshop, Breda, Netherlands and consumed at home Sunday 26th April 2020 at home Attenkirchen on another wonderful glorious day, once again wall to wall sunshine, day 40 of lockdown :-(. Cooking outside again, and we're having Chorizo and Fish Stew, we're listening to Stuart Maconie Freak Zone on 6Music.  Pours hazy amber with a white head. Pine resin and orange peel combination on the nose. Citrus in the mouth, but also pine, quite sweet with a big maltiness. Good.",Fin
New Image Denomination of Origin - Brazilian Coffee,4.0,"Arvada, Colorado",New Image Brewing Company,"Black appearance with a light brown head. Aroma of gourmet coffee, roasted malt, dark chocolate and light earthy notes. Similar flavor, big, rich and bittersweet with a full body and a pleasantly smooth coffee-forward finish. Well done.",ajnepple
Olde Mother Impressionist,3.8,"Frederick, Maryland",Olde Mother Brewing Company,Pours hazy golden with a white head.  Tropical fruit aroma with some dank hops.  Flavor is sweet tropical fruit with citrus.,dlovell2
Bell's This One Goes to 11 Ale,3.8,"Comstock, Michigan",Bell's Brewery,"Deep amber reddish appearance with a large tan head. Hoppy, malty, sweet and strong with a bittersweet balance, a full body and a smooth finish. Good.",ajnepple
Dunham Saison Cassis,3.7,"Dunham, Quebec",Brasserie Dunham,Pours dark purple with a small white fizz.  Aroma is sweet dark fruit cassis and light mixed berry.  Taste is slight acidic cassis with a sweet finish.  Very enjoyable.,cfrancis
Black Project Hoplite,3.9,"Denver, Colorado",Black Project Spontaneous & Wild Ales,Can from beerboxer. Pours hazy gold with a foamy white head and a fruity aroma. There is a hearty pale malt flavor with a lot of fruit and a tart finish.,marcus
Short Throw Lips and Lungs,3.7,"Richmond, Virginia",Short Throw Brewing Co,"Can (3/12/20) pour. Appearance is opaque, juicy yellow-orange with fine mist of particulates, decent sparkle at the edges of the glass with finger-width foamy white head with good retention and nice soapy lacing. Aroma is tropical fruit, tangerine, peach, late burnt matchstick quality (as it warms). Taste is nondescript tropical fruit with stone fruit. Mouthfeel is light side of light-to-medium bodied with thin, smooth texture, soft carbonation and finish as taste with lingering mild, pleasant bitterness. Overall, looks the part but is a bit thin in the mouthfeel. Components of aroma and taste are good for the style but indistinguishable. Solid but unspectacular.",tfontana
Stone Peak Conditions,3.5,"Escondido, California",Stone Brewing,Found out of can. Pours a hazy orange with thick white foam. Light juicy aroma. The juicy and fruit flavors become more apparent as it warms.,riggsfc61
McEwan's Headspace,3.7,"Bedford, Bedfordshire",Eagle Brewery (Marston's) [previously Charles Wells],"500ml bottle brewed in England at 5.8%. Good-sized and duration head, deep brownish-bronze. Faint chocolate/caramel aroma. Lowish+ carbonation. Whisky makes itself known, if somewhat plainly, with butterscotch and vanilla alongside some woody notes. The beer portion delivers typical McEwan's tangy dry tannins with a Marmite aspect (the yeast?), and a slight apple-esque fruity tinge. Really not bad, especially for the price on supermarket shelves, but it's no great shakes as a whisky beer either. No reason really to drink McEwan's Export over this.",LagerGuide122
Nickel Brook Headstock India Pale Ale,2.6,"Burlington, Ontario",Nickel Brook Brewing Co.,"Bright yellow with white head with actually a bunch of floaties in it. Immediately smells like the most stereotypical 2008-2012 era IPA ever lmao. Honey, flowers, grapefruit, marijuana, tangerine aroma which diminish in intensity very quickly. Taste is piney, resinous, sort of sour twang to it, moderate harshness to bitterness level. Body is full of hop texture.

This is what the beer industry has made of IPAs. lol, the best way to rate an IPA isn't on a scale, but simply a yes or no. this is barely a yes, you could get this on draught and chug it down and yeah its an IPA. 

Ontario microbreweries get it the fuck together. wow",fredthecat
Stillwater Duck Sauce,3.8,"Baltimore, Maryland",Stillwater Artisanal,"Aroma is fruit/tropical fruit, bready malts and a hint of ginger.  The flavor is fruit/tropical fruit, malts and a ginger/spicy/grapefruit hop finish.",wlajwl
Burial Metallic Vessels,3.5,"Asheville, North Carolina",Burial Beer Company,Black body with off white head.  Coffee aroma.  Coffee and malt taste with a malt finish.  Fairly full bodies.,troopie
Firestone Walker Napa Parabola,4.3,"Paso Robles, California",Firestone Walker Brewing (Duvel-Moortgat),"Bottle. Pours clear black with a small tan head Ann's some lacing. Aroma is dark cocoa, earth, vinous, wine,  oak,  fudge, vanilla. flavor is medium plus sweet,  light bitter,  smooth.  Full body,  creamy.  Wine barrel stouts are not usually my thing,  but this is a great example of how they CAN turn out great.",bytemesis
Lost Coast Fogcutter Double IPA ,3.2,"Eureka, California",Lost Coast Brewery & Cafe,"Fairly malty base. Bread with an earthiness. Full, leading to a mildly hoppy finish.",r464
Beyond the Pale Dark and Woody,3.4,"Ottawa, Ontario",Beyond the Pale Brewing Company,"Opened up an old bottle, pours inky black with a small beige foam.  Aroma is heavy bourbon and roasted malts.  Chocolate and wood notes.  Taste is still HOT alcohol.  Somewhat surprised.  Still lots of carbonation which makes it a little acidic.  Chocolate, dark fruit and oak.  Still enjoyable but would deal with less of a alcohol burn.",cfrancis
Forgotten Boardwalk What The Butler Saw,3.2,"Cherry Hill, New Jersey",Forgotten Boardwalk Brewing,Interesting fruity flavors with mild spices.  Very mellow.  Nice aftertaste.  Nice easygoing mellow fellow.  Not my kind of beer but decent.,2OLD4BS
Bottle Logic Nectar Of The Night,4.0,"Anaheim, California",Bottle Logic Brewing,"16 oz. can from vujuice - thanks again, Don! Pours a slightly cloudy maroon with a small tinted off-white head that vanishes relatively quickly. Notes of blood orange and tangerine citrus, raspberry, wheat, lemon soda, plum skins, and mild acidity. Light-bodied, with moderate carbonation and a tart, fruity, sweet mouthfeel. Fun beer.",phaleslu
Modern Times Singular Rhythms - Boysenberry & Blackcurrant,3.8,"San Diego, California",Modern Times Beer,"Bottle. Pours clear deep garnet with a large, frothy and bubbly pink head, long retention. Moderate boysenberries and blackcurrants, earthy and funky Saison yeast character, medium bread and biscuit malt, floral notes, medium tartness, and a dry finish. Medium-light body and medium carbonation.",BeerandBlues2
Wicked Weed Silencio,3.9,"Asheville, North Carolina",Wicked Weed Brewing (AB InBev),"Pours black with a tan head.  Sour dark fruit aroma with vanilla,coffee, and bourbon.  Flavor is dark berries and currants, with roasted malt and coffee, with creamy vanilla.  Finishes with tart fruit and bourbon barrel.  Dry barrel finish.",dlovell2
Mayne Island Barrel Aged Brown,3.2,"Mayne Island, British Columbia",Mayne Island Brewing,"330mL bottle, pours a deep dark brown / near-black with a small tan head. Aroma reveals vinous notes upfront, along with leather, and gentle funk. Flavour is very funky, with lots of leather, somewhat harsh funk, red wine, and a bit of wood varnish. Unusual transformation of a brown ale here. I like the idea, but the execution is a bit rough. Decent attempt.",mcberko
Beer Tree All Together,4.0,"Port Crane, New York",Beer Tree Brew Co.,Can after I beat Joe and Chaz in 1st round of golf for the year.  Poured a very hazy and thich white/orange color with a foramy white head.  Aromas of mixed tropical fruits and citrus hops.  Good tropical fruit flavors with the citrus hops.,Ron
Phase Three Creme,3.7,", Illinois",Phase Three Brewing Company,"Aroma is citrus hops and ice cream.  The flavor is citrus/fruit, malts, ice cream in the middle and a piney/bitter hop finish.",wlajwl
DSSOLVR Never Ending Sky,3.2,"Asheville, North Carolina",DSSOLVR,"Pale hazy yellow with lasting white head.  Light grassy aroma.  First tasted lemon, but then it went to a sweetish malt with a little tang.",troopie
Reuben's Tart Cherry Weisse,3.4,"Seattle, Washington",Reuben's Brews,"Light, bright and tart. The cherry is fairly mild but the tartness is very present. Very good.",JMCtime
Mayne Island English IPA,3.2,"Mayne Island, British Columbia",Mayne Island Brewing,"330mL bottle, pours a cloudy dark amber with a medium off-white head. Aroma is very malty for an IPA, with English hops, lots of chewy caramel, and bready malt. Flavour is likewise on the malty side, with lots of butterscotch, caramel malt, bready notes, and bitter English resinous hops. A bit herbal and vegetal. Very malty, yet also very bitter. Solidly constructed. Okay English IPA, even if on the malty side for my palate.",mcberko
New Glarus Wisconsin Belgian Red,4.4,"New Glarus, Wisconsin",New Glarus Brewing Company,"There is a general rule among folks from Wisconsin that if you're traveling and if your hosts enjoy beer, take along at least a bomber or two of New Glarus Belgian Red to ensure you are bringing a good and glorious gift from Cheesehead Nation. My two favorite all-time fruit ales are this (which I can't believe I haven't waxed zymologically about before) and New Glarus Serendipity. Aroma from a poofy pour that would make cinematographers cry is enormous cherries and a hint of wheat bread. Taste is tart but not sour, and finish is a crazy juicy tartness. A few years ago, the brewery expanded its bottling variety by making both bombers and 12-ounce bottles of Belgian Red -- great move!",mrjaxson
"Saints Row Forever, Forever-ever, Forever?",3.2,"Rockville, Maryland",Saints Row Brewing Company,"Poured from 12 oz. can. 

Clear mahogany with a very thin khaki head and sparse lacing. 

Aroma of milk chocolate and roast coffee. 

Taste of milk chocolate, brown sugar, pancake syrup and roast coffee. 

Medium/light body and low/medium carbonation.",MadRobin
Lupulin Make IPA Piney Again,3.8,"Big Lake, Minnesota",Lupulin Brewing,"Pine can (meant to type pint can but for this beer that's a nice typo) from Woodman's Appleton 4/26/20. Murky orange, moderate foamy tan head, good retention. Aroma of pine, melon, dank, pale malt. Taste is pine, resin, lime, melon, dank, some tropical fruit in the finish. Medium bodied, moderate lingering bitterness. Nice.",Drake
Cycle Maple MW,4.3,"Saint Petersburg, Florida",Cycle Brewing,"Bottle at share. Dark brown, still, collar of tan head. Big maple notes in the aroma and taste. Sweet and syrupy with a little bit of heat. Slippery and oh so tasty.",stevoj
Torch & Crown / Aslin Broken Mirror,3.6,"New York, New York",Torch & Crown Brewing Co,"Can from explosivedog, thanks: pours hazy yellow with white head. Aroma is citrus, pineapple. Taste is a little sharp, somewhat bitter. Bitterness lingers into aftertaste. Solid NEIPA but nothing exemplary.",mansquito
Parish Pure Tropics,4.1,"Broussard, Louisiana",Parish Brewing Company,"12 oz bottle. Pours a hazy, straw golden color and topped by a small off white layer of foam that settles quickly to a thin film. The aroma bursts with tropical fruit notes of juicy pineapple, mango, and guava which play nicely with the underlying orange and grapefruit notes from the hops with pale and biscuit malts providing the back drop. The flavor follows suit with notes of juicy pineapple, mango, and pink guava right up front and backed up the pale malts and a firm  balancing hop bitterness on the back end. Medium bodied with ample carbonation that leads to a bitter sweet and tropical fruit finish with lingering notes of pineapple and mango. Really well executed with great fruit flavor that bursts through right away. Delicious stuff that I crush over and over again by the pool.",juiceisloose
Kettlehead Ghost Town Barley Wine,3.6,"Tilton, New Hampshire",Kettlehead Brewing,"Pours hazy dark amber with three finger, beige head.  Aroma is maple, dried fruit, light roast and citra hops.  Taste is caramel, maple syrup and plum, moving to buttery notes, light roast and building hop backbone.  Finish is caramel, buttery notes, hops and bourbon.",GregMooreNH
Odd Side Papaya Strawberry Fruitsicle,3.7,"Grand Haven, Michigan",Odd Side Ales,Can. Pours a hazy earthy yellow with a slight peach hue and a white head that dissipates to the edges. Aroma has slightly tart papaya and strawberry with a creamy sweet grain backbone. Flavor has a nice creamy sweet strawberry with some tart papaya and a bit of creamy sweet grains underlying.,deyholla
